sample_id,read_count
magic.0001,946
magic.0004,1024
magic.0006,479062
magic.0007,83512
magic.0008,19168
magic.0010,69203
magic.0011,2124
magic.0012,34452
magic.0013,16561
magic.0014,479938
magic.0015,170671
magic.0016,1368
magic.0017,1090
magic.0018,541531
magic.0019,4035302
magic.0020,10488
magic.0021,2522
magic.0022,112473
magic.0023,409928
magic.0024,213892
magic.0025,3927
magic.0026,4500
magic.0027,42392
magic.0028,17225
magic.0030,28119
magic.0031,152930
magic.0033,1225040
magic.0034,11346692
magic.0035,291811
magic.0037,11743
magic.0038,133596
magic.0039,1713
magic.0040,3220
magic.0041,398039
magic.0042,46883
magic.0043,6515
magic.0044,43269
magic.0045,1252979
magic.0046,4129
magic.0048,25036
magic.0049,7407
magic.0050,1364
magic.0051,44643
magic.0052,16385
magic.0053,9361
magic.0059,855
magic.0060,2615
magic.0062,53874
magic.0063,1594
magic.0064,8706
magic.0068,739326
magic.0070,10330
magic.0071,15133
magic.0072,31154
magic.0073,4296
magic.0074,260851
magic.0075,62
magic.0077,191042
magic.0078,1933
magic.0079,9932
magic.0080,5766
magic.0081,58571
magic.0083,1029374
magic.0084,3547
magic.0085,25875
magic.0089,1396
magic.0094,48279931
magic.0096,111963
magic.0097,10618
magic.0100,3682
magic.0101,25
magic.0103,176895
magic.0104,13560
magic.0106,9624
magic.0107,97753
magic.0108,4122
magic.0109,6753
magic.0110,4957
magic.0111,9375
magic.0112,2286
magic.0113,35163
magic.0115,854243
magic.0116,7606
magic.0117,349998
magic.0119,418645
magic.0120,59604
magic.0121,9280
magic.0122,2756
magic.0123,39843
magic.0124,2642
magic.0125,757763
magic.0128,15839
magic.0131,129700
magic.0132,309
magic.0133,2321
magic.0134,19560
magic.0135,2813542
magic.0136,1603
magic.0140,6918699
magic.0141,3148
magic.0142,628272
magic.0143,3051
magic.0145,136653
magic.0146,3448
magic.0148,284
magic.0149,124
magic.0150,8214
magic.0151,8741
magic.0152,128963
magic.0154,40631
magic.0156,22370
magic.0158,7161
magic.0159,439
magic.0162,172256
magic.0164,8210
magic.0166,32089
magic.0167,64858
magic.0168,37040
magic.0170,1303
magic.0171,4200
magic.0172,251403
magic.0173,508186
magic.0174,45566
magic.0175,19338
magic.0176,29913
magic.0178,243608
magic.0179,20023
magic.0180,707045
magic.0182,7044
magic.0183,1590097
magic.0185,0
magic.0186,38203
magic.0189,3861
magic.0195,3251
magic.0197,37753
magic.0200,1632
magic.0203,5166
magic.0205,51885
magic.0208,4669
magic.0213,132807
magic.0214,38242
magic.0215,139042
magic.0216,9416
magic.0217,5133
magic.0218,71107
magic.0220,33801
magic.0221,1021655
magic.0225,13719
magic.0227,244672
magic.0228,121662
magic.0230,530
magic.0231,14445
magic.0232,4972
magic.0233,1272
magic.0234,173359
magic.0235,19001
magic.0236,332486
magic.0238,6072
magic.0240,289
magic.0242,5158
magic.0243,132
magic.0244,1772
magic.0245,7111
magic.0246,123
magic.0247,168321
magic.0249,558
magic.0251,1296
magic.0253,21616
magic.0255,417158
magic.0258,687803
magic.0260,141973
magic.0261,4680
magic.0263,581184
magic.0264,2925
magic.0265,205372
magic.0266,3853
magic.0268,20
magic.0269,298
magic.0270,3278362
magic.0271,437
magic.0272,414
magic.0273,2319284
magic.0275,3336
magic.0276,210729
magic.0277,790385
magic.0278,8
magic.0279,105638
magic.0281,77930
magic.0283,93310
magic.0284,80605
magic.0287,27072
magic.0288,373832
magic.0290,847
magic.0291,5950
magic.0293,1692742
magic.0298,388266
magic.0300,42
magic.0302,171
magic.0303,74284
magic.0304,352200
magic.0305,8462
magic.0307,2087
magic.0308,69547
magic.0309,17863
magic.0311,461931
magic.0312,72555
magic.0313,317
magic.0314,277737
magic.0315,31611
magic.0316,77
magic.0317,16194
magic.0318,210365
magic.0319,15086
magic.0320,170608
magic.0321,3783959
magic.0322,238
magic.0324,62371
magic.0325,167796
magic.0327,17204
magic.0328,714969
magic.0330,2869
magic.0331,1228655
magic.0333,18519
magic.0334,201
magic.0335,1208
magic.0336,91335
magic.0337,319
magic.0339,24
